,title,url,rate,teach_rate,new_carr,advent,earn_more,level,lang,exec_time,chap_cnt,course_dur,chap_avg_dur,edu_name
697,Современные методы управления преобразователями,https://ru.coursera.org/learn/current-control?specialization=power-electronics,4.8,4.77,40.0,30.0,,2.0,2.0,,4,660,165.0,Колорадский университет в Боулдере
698,Introduction to the Digital Advertising Landscape,https://ru.coursera.org/learn/digital-advertising-landscape,4.6,4.4,,,,1.0,2.0,,6,780,130.0,Колорадский университет в Боулдере
699,Search Advertising,https://ru.coursera.org/learn/search-advertising,4.3,,,,,1.0,2.0,,5,600,120.0,Колорадский университет в Боулдере
700,Social Media Advertising,https://ru.coursera.org/learn/social-media-advertising,4.5,4.78,,,,1.0,2.0,,5,540,108.0,Колорадский университет в Боулдере
701,Native Advertising,https://ru.coursera.org/learn/native-advertising,4.6,,,,,1.0,2.0,,4,420,105.0,Колорадский университет в Боулдере
702,Python Programming Essentials,https://ru.coursera.org/learn/python-programming,4.8,4.86,34.0,32.0,19.0,1.0,2.0,,4,540,135.0,Университет Райса
703,Python Data Representations,https://ru.coursera.org/learn/python-representation,4.7,4.78,50.0,44.0,,1.0,2.0,,4,480,120.0,Университет Райса
704,Python Data Analysis,https://ru.coursera.org/learn/python-analysis,4.7,4.73,67.0,60.0,,1.0,2.0,,4,480,120.0,Университет Райса
705,Python Data Visualization,https://ru.coursera.org/learn/python-visualization,4.7,4.4,12.0,12.0,,1.0,2.0,,4,480,120.0,Университет Райса
706,Leading transformations: Manage change,https://ru.coursera.org/learn/change-management,4.7,4.67,,,,1.0,2.0,,6,1140,190.0,Университет Маккуори
707,Negotiation skills: Negotiate and resolve conflict,https://ru.coursera.org/learn/negotiation-skills-conflict,4.7,4.25,,,,1.0,2.0,,6,900,150.0,Университет Маккуори
708,Storytelling and influencing: Communicate with impact,https://ru.coursera.org/learn/communicate-with-impact,4.8,4.78,,,,,2.0,,6,1080,180.0,Университет Маккуори
709,Risk governance: Engage the board,https://ru.coursera.org/learn/risk-governance-engage-the-board,4.8,4.8,,,,1.0,2.0,,6,1380,230.0,Университет Маккуори
710,Race and Cultural Diversity in American Life and History,https://ru.coursera.org/learn/race-cultural-diversity-american-life,4.5,4.69,,,,1.0,2.0,,4,720,180.0,Иллинойсский университет в Урбане-Шампейне
711,Введение в финансовый учёт,https://ru.coursera.org/learn/wharton-accounting,4.7,4.81,41.0,35.0,,,2.0,,4,720,180.0,Пенсильванский университет
712,Positive Psychiatry and Mental Health ,https://ru.coursera.org/learn/positive-psychiatry,4.8,4.74,45.0,41.0,,,2.0,,5,1320,264.0,Сиднейский университет
713,Finance for Non-Finance Professionals,https://ru.coursera.org/learn/finance-for-non-finance,4.8,4.82,70.0,54.0,,1.0,2.0,,5,780,156.0,Университет Райса
714,Introduction to Integrative Therapies and Healing Practices,https://ru.coursera.org/learn/integrative-therapies-and-healing-practices?specialization=integrative-health-and-medicine,4.7,4.44,,50.0,,1.0,2.0,,6,780,130.0,Миннесотский университет
715,Guided Imagery,https://ru.coursera.org/learn/guided-imagery?specialization=integrative-health-and-medicine,4.8,4.55,,,,1.0,2.0,,6,900,150.0,Миннесотский университет
716,Herbal Medicine,https://ru.coursera.org/learn/herbalmedicine?specialization=integrative-health-and-medicine,4.9,4.86,,,,2.0,2.0,,6,900,150.0,Миннесотский университет
717,Aromatherapy: Clinical Use of Essential Oils,https://ru.coursera.org/learn/aromatherapy-clinical-use-essential-oils?specialization=integrative-health-and-medicine,4.8,4.91,,,,1.0,2.0,,6,960,160.0,Миннесотский университет
718,Blockchain Basics,https://ru.coursera.org/learn/blockchain-basics,4.6,4.52,38.0,39.0,12.0,1.0,2.0,,4,1140,285.0,Университет штата Нью-Йорк в Баффало
719,Smart Contracts,https://ru.coursera.org/learn/smarter-contracts,4.6,4.5,56.0,58.0,14.0,2.0,2.0,,4,780,195.0,Университет штата Нью-Йорк в Баффало
720,Decentralized Applications (Dapps),https://ru.coursera.org/learn/decentralized-apps-on-blockchain,4.6,4.31,43.0,44.0,20.0,2.0,2.0,,4,900,225.0,Университет штата Нью-Йорк в Баффало
721,Blockchain Platforms,https://ru.coursera.org/learn/blockchain-platforms,4.6,4.44,38.0,23.0,20.0,2.0,2.0,,4,900,225.0,Университет штата Нью-Йорк в Баффало
722,Economics of Money and Banking,https://ru.coursera.org/learn/money-banking,4.9,4.87,50.0,26.0,,,2.0,,13,1760,135.3846153846154,Колумбийский университет
723,Introduction to Cyber Attacks,https://ru.coursera.org/learn/intro-cyber-attacks,4.7,4.76,35.0,34.0,,1.0,2.0,,4,1080,270.0,New York University
724,Cyber Attack Countermeasures,https://ru.coursera.org/learn/cyber-attack-countermeasures,4.8,4.85,33.0,29.0,17.0,2.0,2.0,,4,1020,255.0,New York University
725,Real-Time Cyber Threat Detection and Mitigation,https://ru.coursera.org/learn/real-time-cyber-threat-detection,4.7,4.75,,75.0,17.0,2.0,2.0,,4,900,225.0,New York University
726,Enterprise and Infrastructure Security,https://ru.coursera.org/learn/enterprise-infrastructure-security,4.7,4.61,56.0,50.0,20.0,2.0,2.0,,4,840,210.0,New York University
727,Russian Alphabet,https://ru.coursera.org/learn/russian-alphabet,4.6,4.72,,,,1.0,2.0,,4,360,90.0,Санкт-Петербургский государственный университет
728,Russian for beginners 1. Русский язык: A1,https://ru.coursera.org/learn/russian-a1-part1,4.6,4.45,,,,1.0,2.0,,4,720,180.0,Санкт-Петербургский государственный университет
729,Russian for beginners 2. Русский язык A1,https://ru.coursera.org/learn/russian-a1-part2,4.6,,,,,1.0,2.0,,4,780,195.0,Санкт-Петербургский государственный университет
730,Russian for beginners 3. Русский язык: A1,https://ru.coursera.org/learn/russian-a1-part3,4.8,,,,,1.0,2.0,,4,480,120.0,Санкт-Петербургский государственный университет
731,Криптография I,https://ru.coursera.org/learn/crypto,4.8,4.83,39.0,29.0,14.0,,2.0,,7,1166,166.57142857142858,Стэнфордский университет
732,Introduction to Systematic Review and Meta-Analysis,https://ru.coursera.org/learn/systematic-review,4.8,4.72,29.0,23.0,13.0,,2.0,,6,780,130.0,Университет Джонса Хопкинса
